,id,width,npaths,length,fatness,centroid_x,centroid_y,centroid_y_pix,centroid_x_pix,img_x,img_y,N,label
0,0,7.211102550927978,1,24.798989873223338,5.847012347731287,21.671990455665025,6.8134236453201975,78.23448275862069,120.42068965517241,21,6,61,0_21_6
0,0,4.0,1,12.071067811865476,3.0651803615609032,30.92437861969112,5.539183156370656,127.37837837837837,165.64864864864865,30,5,62,0_30_5
0,0,6.0,3,3.429777999447732,13.995074902144987,37.184895833333336,38.04150390625,216.5625,212.33333333333334,36,38,63,0_36_38
0,0,4.47213595499958,1,67.74011537017756,3.4100916235182153,13.622149427953,1.2454390847247991,180.017316017316,111.4891774891775,13,1,64,0_13_1
0,0,8.0,3,12.899494936611667,5.116479391195167,12.759097673160174,13.148116206709958,18.257575757575758,136.03030303030303,12,12,65,0_12_12
1,1,4.0,1,5.82842712474619,3.2598846298223885,12.676104323308271,12.941024436090226,55.36842105263158,121.15789473684211,12,12,66,1_12_12
2,2,8.246211251235321,1,12.65685424949238,8.374908797282806,12.633739049865229,12.873062668463612,67.54716981132076,113.56603773584905,12,12,67,2_12_12
3,3,5.656854249492381,1,19.899494936611667,4.371970257392557,12.5313526272578,12.6563013136289,106.39080459770115,95.2183908045977,12,12,68,3_12_12
4,4,12.0,5,10.803890382092424,36.37578558288615,12.571922709923664,12.530872296437659,128.8676844783715,102.4885496183206,12,12,69,4_12_12
0,0,5.656854249492381,1,36.112698372208094,4.1259724893520735,34.64451252396932,8.08685133029722,208.43624161073825,115.49664429530202,34,8,70,0_34_8
0,0,6.0,1,151.5685424949238,4.011386465765893,34.77841393033365,10.499809093045112,134.43421052631578,139.49177631578948,34,10,71,0_34_10
0,0,8.0,1,68.14213562373094,3.9329556895582134,14.74401985607676,13.185109608208956,190.82835820895522,133.32835820895522,14,13,72,0_14_13
0,0,7.211102550927978,1,20.89949493661167,5.8374616405815996,25.09612851288056,39.88947233606557,64.60655737704919,196.4262295081967,24,39,73,0_24_39
1,1,2.8284271247461903,1,7.414213562373095,2.1580171471185436,24.628836495535715,39.889718191964285,64.5625,112.6875,24,39,74,1_24_39
0,0,4.0,1,12.82842712474619,1.8708450978922984,11.578962053571429,20.847284226190474,72.16666666666667,103.75,11,20,75,0_11_20
1,1,4.0,1,14.242640687119286,1.9659275702519514,11.446827168367347,20.813536352040817,78.21428571428571,80.07142857142857,11,20,76,1_11_20
2,2,4.0,1,8.82842712474619,1.9255978171183847,11.05186449579832,20.7155987394958,95.76470588235294,9.294117647058824,11,20,77,2_11_20
0,0,4.0,1,31.213203435596434,3.0756215137635903,15.909888857886905,3.9286644345238093,57.583333333333336,163.05208333333334,15,3,78,0_15_3
0,0,5.656854249492381,1,5.414213562373095,3.6939806251812928,21.262276785714285,38.01841517857143,41.5,47.0,21,37,79,0_21_37
1,1,5.656854249492381,1,91.52691193458115,2.917174788884369,21.18964854200107,37.73280330390583,92.68164794007491,33.98501872659176,21,37,80,1_21_37
0,0,4.47213595499958,1,132.16652224137036,3.1172795728677882,7.000387374306518,35.384733118065185,155.05582524271844,179.26941747572815,6,35,81,0_6_35
0,0,4.47213595499958,1,30.62741699796953,3.493601827640041,27.95147696929239,4.46562082777036,140.5607476635514,170.50467289719626,27,4,82,0_27_4
0,0,13.416407864998739,5,9.18692240776034,58.88805586765473,11.73210984948508,39.678070124768944,102.4898336414048,131.19408502772643,11,39,83,0_11_39
0,0,10.0,1,17.071067811865476,5.213499294879454,7.96558988764045,0.14496388443017663,198.02247191011236,173.03370786516854,7,0,84,0_7_0
0,0,16.492422502470642,1,28.142135623730958,13.25414691291113,30.479147716392188,20.89393431635389,63.806970509383376,85.8632707774799,30,20,85,0_30_20
1,1,21.540659228538015,8,19.613540144521988,58.887890278318196,30.342493815708103,20.557339981447125,124.12467532467532,61.37489177489177,30,20,86,1_30_20
0,0,4.0,1,11.242640687119286,2.3126239398354382,8.69110576923077,19.101734203296704,205.76923076923077,123.84615384615384,8,19,87,0_8_19
0,0,12.165525060596439,1,33.14213562373095,11.797670628081978,26.340002169346,29.834884225429303,74.38874680306905,60.928388746803066,26,29,88,0_26_29
0,0,10.0,1,51.21320343559641,8.044800410076164,4.166056258668516,18.751587421983356,89.31553398058253,29.75728155339806,4,18,89,0_4_18
0,0,2.8284271247461903,1,9.242640687119284,2.055689563533369,21.30016447368421,12.205357142857142,8.0,53.78947368421053,21,11,90,0_21_11
0,0,4.47213595499958,1,2.414213562373095,6.627416997969521,18.206403459821427,19.878557477678573,66.5625,216.1875,17,19,91,0_17_19
